name,genre, box_office 
Avengers: Endgame,"Action,Adventure,Drama"," $2,799,439,100 "
Avengers: Infinity War,"Action,Adventure,Sci-Fi"," $2,052,415,039 "
Spider-Man: No Way Home,"Action,Adventure,Fantasy"," $1,921,847,111 "
Top Gun: Maverick,"Action,Drama"," $1,488,732,821 "
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Family,Fantasy"," $1,342,359,942 "
The Lord of the Rings: The Return of the King,"Action,Adventure,Drama"," $1,146,457,748 "
Jurassic Park,"Action,Adventure,Sci-Fi"," $1,109,802,321 "
The Dark Knight Rises,"Action,Drama"," $1,081,169,825 "
Joker,"Crime,Drama,Thriller"," $1,074,458,282 "
Toy Story 3,"Animation,Adventure,Comedy"," $1,067,316,101 "
