name, budget , box_office , profit 
Avengers: Endgame," $356,000,000 "," $2,799,439,100 "," $2,443,439,100 "
Avengers: Infinity War," $321,000,000 "," $2,052,415,039 "," $1,731,415,039 "
Spider-Man: No Way Home," $200,000,000 "," $1,921,847,111 "," $1,721,847,111 "
Top Gun: Maverick," $170,000,000 "," $1,488,732,821 "," $1,318,732,821 "
Harry Potter and the Deathly Hallows: Part 2," $125,000,000 "," $1,342,359,942 "," $1,217,359,942 "
The Lord of the Rings: The Return of the King," $94,000,000 "," $1,146,457,748 "," $1,052,457,748 "
Jurassic Park," $63,000,000 "," $1,109,802,321 "," $1,046,802,321 "
Joker," $55,000,000 "," $1,074,458,282 "," $1,019,458,282 "
The Lion King," $45,000,000 "," $968,511,805 "," $923,511,805 "
Toy Story 3," $200,000,000 "," $1,067,316,101 "," $867,316,101 "
